No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
120,Dickson,Daniel Karaba,20,Kirinyaga,27,Jubilee Party,JP
121,Karimi,Dishon Kirima,20,Kirinyaga,1,National Rainbow Coalition - Kenya,"NARC-
KENYA"
122,Kibiru,Charles Reubenson,20,Kirinyaga,IND,Independent,IND
123,Gitura,James Kembi,21,Murang'a,IND,Independent,IND
124,Kang'ata,Irungu,21,Murang'a,27,Jubilee Party,JP
125,Githuku,Kevin Chege,22,Kiambu,1,National Rainbow Coalition - Kenya,"NARC-
KENYA"
126,Kimani,Wamatangi Paul,22,Kiambu,27,Jubilee Party,JP
127,Kimemiah,Juliet Gathoni,22,Kiambu,33,Kenya African National Union,KANU
128,Thangwa,Paul Karungo,22,Kiambu,IND,Independent,IND
129,Erot,William Losengei,23,Turkana,54,Chama Cha Mashinani,CCM
130,Fredrick,Damien Aryong Nawot,23,Turkana,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
131,Imana,Malachy Charles Ekal,23,Turkana,21,Orange Democratic Movement,ODM
132,Kaituko,Geoffrey Eyanae,23,Turkana,27,Jubilee Party,JP
133,Murgor,Julius Recha,24,West Pokot,27,Jubilee Party,JP
134,Poghisio,Samuel Losuron,24,West Pokot,33,Kenya African National Union,KANU
135,Lelegwe,Steve Ltumbesi,25,Samburu,27,Jubilee Party,JP
136,Lepariyo,Partamei,25,Samburu,21,Orange Democratic Movement,ODM
137,Leshore,Sammy Prisa,25,Samburu,33,Kenya African National Union,KANU
138,Chemuigut,Peter Kiptanui,26,Trans Nzoia,IND,Independent,IND
139,Kirwa,Kipruto Rono,26,Trans Nzoia,62,Amani National Congress,ANC
140,Kitiavi,Beatrice Khakali,26,Trans Nzoia,21,Orange Democratic Movement,ODM
141,Kore,Stanley Kilimo,26,Trans Nzoia,33,Kenya African National Union,KANU
142,Mbito,Michael Maling'a,26,Trans Nzoia,27,Jubilee Party,JP
143,Ndiema,Henry Tiole,26,Trans Nzoia,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
144,Ndombi,John Lewis,26,Trans Nzoia,IND,Independent,IND
145,Okumu,Catherine Nabwala Mukiite,26,Trans Nzoia,IND,Independent,IND
146,Sifuna,David Kinisu,26,Trans Nzoia,IND,Independent,IND
147,Wafula,John Kennedy Wanjala,26,Trans Nzoia,IND,Independent,IND
148,Kamar,Margaret Jepkoech,27,Uasin Gishu,27,Jubilee Party,JP
149,Kiyeng,Philip Kipsoi,27,Uasin Gishu,3,The Labour Party of Kenya,LPK
150,Murgor,Thomas Kipkurui,27,Uasin Gishu,21,Orange Democratic Movement,ODM
151,Rotich,Robert Kemei,27,Uasin Gishu,IND,Independent,IND
152,Tonui,Emiliano Kipkorir,27,Uasin Gishu,33,Kenya African National Union,KANU
153,Chepsoi,Cornelius Kipchirchir,28,Elgeyo Marakwet,IND,Independent,IND
154,Kiboss,Joel Kipkemboi,28,Elgeyo Marakwet,IND,Independent,IND
