No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv,Notes
171,Mruttu,Maina Moses,6,Taita Taveta,23,Taveta,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
172,Mutiso,Morris Muindi,6,Taita Taveta,23,Taveta,62,Amani National Congress,ANC,
173,Mzari,Hamisi Rashid,6,Taita Taveta,23,Taveta,49,Federal Party of Kenya,FPK,
174,Shaban,Naomi Namsi,6,Taita Taveta,23,Taveta,27,Jubilee Party,JP,
175,Baridi,Cromwel Mwarigha,6,Taita Taveta,24,Wundanyi,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
176,Malinge,Paul Mbwaghwa,6,Taita Taveta,24,Wundanyi,67,Maendeleo Chap Chap Party,MCCP,
177,Mbashu,Pius Chorongo,6,Taita Taveta,24,Wundanyi,33,Kenya African National Union,KANU,
178,Mwachia,Simon,6,Taita Taveta,24,Wundanyi,27,Jubilee Party,JP,
179,Mwakuwona,Danson Mwashako,6,Taita Taveta,24,Wundanyi,12,Wiper Democratic Movement - Kenya,WDM-K,
180,Mwandawiro,Julius D Mghanga,6,Taita Taveta,24,Wundanyi,32,Social Democratic Party of Kenya,SDP,
181,Mwangola,Raymond Joel Mwakima,6,Taita Taveta,24,Wundanyi,21,Orange Democratic Movement,ODM,
182,Dau,Pascal Mliwa,6,Taita Taveta,25,Mwatate,36,Chama Cha Uzalendo,CCU,
183,Ernest,Dickson Wambari,6,Taita Taveta,25,Mwatate,74,Ukweli Party,UP,
184,Kirubai,Gibson,6,Taita Taveta,25,Mwatate,32,Social Democratic Party of Kenya,SDP,
185,Mbondenyi,Morris Kiwinda,6,Taita Taveta,25,Mwatate,27,Jubilee Party,JP,
186,Mghana,Harrison Ben,6,Taita Taveta,25,Mwatate,62,Amani National Congress,ANC,
187,Mughenyu,Joseph Kobie,6,Taita Taveta,25,Mwatate,67,Maendeleo Chap Chap Party,MCCP,
188,Mwadime,Andrew,6,Taita Taveta,25,Mwatate,21,Orange Democratic Movement,ODM,
189,Kitololo,Manuel Mwambacha,6,Taita Taveta,26,Voi,12,Wiper Democratic Movement - Kenya,WDM-K,
190,Mlolwa,Jones Mwagogo,6,Taita Taveta,26,Voi,21,Orange Democratic Movement,ODM,
191,Mngoda,Dishon K Mwanzige,6,Taita Taveta,26,Voi,27,Jubilee Party,JP,
192,Mwachari,Naomi Ndisha,6,Taita Taveta,26,Voi,IND,Independent,IND,
193,Mwarema,Godfrey Mwanjulu,6,Taita Taveta,26,Voi,62,Amani National Congress,ANC,
194,Mwazi,Jonah Nyange,6,Taita Taveta,26,Voi,33,Kenya African National Union,KANU,
195,Aden,Mohamed Abdullahi,7,Garissa,27,Garissa Township,67,Maendeleo Chap Chap Party,MCCP,
196,Duale,Aden Bare,7,Garissa,27,Garissa Township,27,Jubilee Party,JP,
197,Maalim,Farah,7,Garissa,27,Garissa Township,12,Wiper Democratic Movement - Kenya,WDM-K,
198,Mohamed,Abdi Yare,7,Garissa,27,Garissa Township,62,Amani National Congress,ANC,
199,Aden,Abdikadir Omar,7,Garissa,28,Balambala,21,Orange Democratic Movement,ODM,
200,Shurie,Abdi Omar,7,Garissa,28,Balambala,27,Jubilee Party,JP,
201,Garane,Mohamed Hire,7,Garissa,29,Lagdera,33,Kenya African National Union,KANU,
202,Mohamed,Abdikadir Hussein,7,Garissa,29,Lagdera,31,Kenya Patriots Party,KPP,
203,Saytun,Abdulqani Ibrahim,7,Garissa,29,Lagdera,62,Amani National Congress,ANC,
204,Shidiye,Mohamed Muktar,7,Garissa,29,Lagdera,27,Jubilee Party,JP,
205,Duale,Mohamed Dahir,7,Garissa,30,Dadaab,33,Kenya African National Union,KANU,
206,Dubow,Abdikheir Abdullahi,7,Garissa,30,Dadaab,27,Jubilee Party,JP,
207,Khalif,Muhsin Mohamed,7,Garissa,30,Dadaab,54,Chama Cha Mashinani,CCM,
208,Moulid,Abdullahi Salan,7,Garissa,30,Dadaab,21,Orange Democratic Movement,ODM,
209,Farah,Salah Yakub,7,Garissa,31,Fafi,IND,Independent,IND,
210,Kolon,Idriss Sahal,7,Garissa,31,Fafi,12,Wiper Democratic Movement - Kenya,WDM-K,
211,Mohamed,Abdikhaim Osman,7,Garissa,31,Fafi,33,Kenya African National Union,KANU,
212,Shill,Elias Bare,7,Garissa,31,Fafi,27,Jubilee Party,JP,
213,Abass,Ahmed Ibrahim,7,Garissa,32,Ijara,27,Jubilee Party,JP,
214,Korio,Abdi Aden,7,Garissa,32,Ijara,12,Wiper Democratic Movement - Kenya,WDM-K,
215,Muhumed,Mukhtar  Bulale,7,Garissa,32,Ijara,3,The Labour Party of Kenya,LPK,
216,Noor,Sophia Abdi,7,Garissa,32,Ijara,15,Party for Development and Reform,PDR,
217,Shurie,Abdikadir Ibrahim,7,Garissa,32,Ijara,33,Kenya African National Union,KANU,
218,Issack,Yusuf,8,Wajir,33,Wajir North,48,Economic Freedom Party,EFP,
219,Ali,Mohamed Osman,8,Wajir,33,Wajir North,29,National Rainbow Coalition,NARC,
220,Hussein,Ibrahim Ali,8,Wajir,33,Wajir North,34,Safina,SAFINA,
221,Ibrahim,Ahmed Abdisalan,8,Wajir,33,Wajir North,21,Orange Democratic Movement,ODM,
222,Maalim,Abdirahaman Ali,8,Wajir,33,Wajir North,33,Kenya African National Union,KANU,
223,Mahad,Mohamud Hassan,8,Wajir,33,Wajir North,15,Party for Development and Reform,PDR,
224,Omar,Ahmed Maalim,8,Wajir,33,Wajir North,14,Party of National Unity,PNU,
225,Saney,Ibrahim Abdi,8,Wajir,33,Wajir North,27,Jubilee Party,JP,
226,Adan,Ahmed Mohamed,8,Wajir,34,Wajir East,14,Party of National Unity,PNU,
227,Amin,Rashid Kassim,8,Wajir,34,Wajir East,12,Wiper Democratic Movement - Kenya,WDM-K,
228,Hussein,Bishar Omar,8,Wajir,34,Wajir East,15,Party for Development and Reform,PDR,
229,Mohamed,Abass Sheikh,8,Wajir,34,Wajir East,27,Jubilee Party,JP,
230,Mohamed,Ali Maalim,8,Wajir,34,Wajir East,67,Maendeleo Chap Chap Party,MCCP,
231,Mursal,Mohamed Ali,8,Wajir,34,Wajir East,21,Orange Democratic Movement,ODM,
232,Abullahi,Idris Abdi,8,Wajir,35,Tarbaj,27,Jubilee Party,JP,
233,Ali,Fatuma Ibrahim,8,Wajir,35,Tarbaj,21,Orange Democratic Movement,ODM,
234,Gaal,Ahmed Bashane,8,Wajir,35,Tarbaj,15,Party for Development and Reform,PDR,
235,Hillow,Siraj Jelle,8,Wajir,35,Tarbaj,37,National Agenda Party of Kenya,NAPK,
236,Abdirahaman,Ibrahim  Mohamud,8,Wajir,36,Wajir West,33,Kenya African National Union,KANU,
237,Dahiye,Yakub Mumin,8,Wajir,36,Wajir West,62,Amani National Congress,ANC,
238,Elmi,Mohamed Yussuf,8,Wajir,36,Wajir West,12,Wiper Democratic Movement - Kenya,WDM-K,
239,Khalif,Mohamed Ahmed,8,Wajir,36,Wajir West,15,Party for Development and Reform,PDR,
240,Mohamed,Ahmed Kolosh,8,Wajir,36,Wajir West,21,Orange Democratic Movement,ODM,
241,Shihaw,Abass Nunow,8,Wajir,36,Wajir West,17,Agano Party,AGANO,
242,Ahmed,Jamal Abdinasir,8,Wajir,37,Eldas,17,Agano Party,AGANO,
243,Arale,Ahmed Boray,8,Wajir,37,Eldas,21,Orange Democratic Movement,ODM,
244,Durow,Abdikadir Ahmed,8,Wajir,37,Eldas,62,Amani National Congress,ANC,
245,Mohamed,Abdikadir Adan,8,Wajir,37,Eldas,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
246,Wehliye,Adan Keynan,8,Wajir,37,Eldas,27,Jubilee Party,JP,
247,Abdinoor,Abdirashid Yussuf,8,Wajir,38,Wajir South,14,Party of National Unity,PNU,
